id,value,skill_match,job_size,skill_in_module,benchmark_job
communication,576,1,66,"['ET0437', 'LCXX61', 'LC8062', 'ET0429', 'LCXX54', 'LCXX56', 'ET1013', 'LCXX57', 'ET0085', 'ET0730', 'ET0435', 'ET1014']",Technician (Avionics)
team player,450,1,20,"['ET0437', 'LC8062', 'ET0429', 'LCXX54', 'LCXX56', 'ET1013', 'ET0438', 'ET0730', 'ET1014']",Technician (Avionics)
calculus,255,0,0,"['MS2216/4216/6216', 'MS4120', 'MS4121']",Technician (Avionics)
creative thinking,248,1,7,"['LC8062', 'ET0429', 'LCXX54', 'ET1013', 'ET0438', 'ET1010', 'LCXX60', 'ET1014']",Technician (Avionics)
problem solving,224,1,9,"['MS4120', 'LCXX54', 'ET0438', 'ET0083', 'MS4121', 'ET1004', 'ET0053']",Technician (Avionics)
aircraft maintenance (mro),196,1,45,"['ET0436', 'ET0437', 'ET0435', 'ET0438']",Technician (Avionics)
budget management,158,0,0,"['LCXX54', 'SP103B']",Technician (Avionics)
physics,126,0,0,"['ET0429', 'ET0436', 'ET0438', 'ET1006', 'ME0501', 'ET1005', 'ET0434']",Technician (Avionics)
algebra,112,0,0,"['ET1003', 'MS4120', 'ET1004', 'MS4121']",Technician (Avionics)
regulatory compliance,108,1,47,"['ET0436', 'ET0435', 'ET1013']",Technician (Avionics)
leadership,108,1,10,"['LCXX61', 'LCXX57']",Technician (Avionics)
mathematics,100,1,1,"['ET0083', 'MS2216/4216/6216', 'MS4120', 'MS4121']",Technician (Avionics)
learning and talent development,91,0,0,['SP103B'],Technician (Avionics)
electrical circuitry design,84,0,0,"['ET0053', 'ET1003', 'ET1013', 'ET1014']",Technician (Avionics)
quality audit/management,74,1,32,"['ET0437', 'ET0438']",Technician (Avionics)
regression analysis,72,0,0,"['ET0437', 'ME0501', 'MS4215_MS6215']",Technician (Avionics)
statistics,60,0,0,"['MS4215_MS6215', 'MS4120']",Technician (Avionics)
data analytics,59,0,0,['MS4215_MS6215'],Technician (Avionics)
maintenance management,55,1,240,"['ET0437', 'ET0436', 'ET0438', 'ET0434', 'ET0435']",Technician (Avionics)
career development,54,1,14,"['SP201A', 'SP103B', 'LCXX57']",Technician (Avionics)
general programming,52,0,0,"['ET0083', 'SP103B', 'ET1010', 'ET1005']",Technician (Avionics)
risk management,51,0,0,['ET0437'],Technician (Avionics)
presentation,50,0,0,"['LC8062', 'LCXX56', 'LCXX57', 'ET0438', 'LCXX60']",Technician (Avionics)
sops/best practices,48,1,10,"['ET0436', 'ET0435']",Technician (Avionics)
work shifts/irregular hours,47,1,35,['ET0437'],Technician (Avionics)
brand management,47,0,0,['SP103B'],Technician (Avionics)
independent,45,1,35,"['ET1013', 'ET1005', 'ET1014']",Technician (Avionics)
conflict management,42,0,0,"['LCXX56', 'LC8062']",Technician (Avionics)
process design and management,42,0,0,['ET0437'],Technician (Avionics)
positive attitude,42,0,0,"['LCXX61', 'LC8062', 'ET0429', 'LCXX54', 'LCXX57', 'ME0501', 'ET0434']",Technician (Avionics)
instrumentation technology,40,0,0,"['ET0429', 'ET0436', 'ET1013', 'ET1010', 'ET0434']",Technician (Avionics)
customer engagement,40,0,0,['ET1010'],Technician (Avionics)
ac circuits,40,0,0,"['ET1005', 'ET0053', 'ET1006', 'ET0434']",Technician (Avionics)
user research,39,1,7,['LC8062'],Technician (Avionics)
iso,38,1,21,"['ET0438', 'ET0085']",Technician (Avionics)
troubleshooting,36,1,86,"['ET0436', 'ET1014', 'ET1013', 'ET0438']",Technician (Avionics)
hands on,36,1,8,"['ET1014', 'ET1013', 'MS4215_MS6215', 'ET0438']",Technician (Avionics)
monitoring and evaluation,36,0,0,"['LC8062', 'ET0730', 'ET1013', 'ET1014']",Technician (Avionics)
personal awareness,36,0,0,"['LCXX54', 'ET0437', 'SP103B', 'LCXX57']",Technician (Avionics)
capable,36,0,0,"['ET1006', 'LCXX54', 'LCXX57', 'ET1005']",Technician (Avionics)
writing skills,35,1,4,"['LCXX54', 'LCXX56', 'LCXX57', 'ET0083', 'ET0053']",Technician (Avionics)
repair and maintenance,34,1,168,"['ET0436', 'ET0438']",Technician (Avionics)
electrical wiring,34,0,0,"['ET1006', 'ET1005']",Technician (Avionics)
interpersonal,33,1,44,"['SP201A', 'LCXX56', 'ET0438']",Technician (Avionics)
demonstration of empathy,33,0,0,"['LCXX54', 'LC8062', 'LCXX57']",Technician (Avionics)
embraces diversity,31,0,0,['SP201A'],Technician (Avionics)
teaching,30,1,60,"['SP103B', 'ET0085', 'ET0083', 'LCXX60', 'ET0730']",Technician (Avionics)
coordination,30,-1,30,[],Technician (Avionics)
meticulous,30,-1,30,[],Technician (Avionics)
motion control,30,0,0,"['ET1010', 'ET0436', 'ET0434']",Technician (Avionics)
critical thinking,28,0,0,"['LCXX54', 'LCXX60', 'ET1013', 'ET1014']",Technician (Avionics)
electrical hardware,27,0,0,"['ET0053', 'ET1005', 'ET0438']",Technician (Avionics)
decisive,27,0,0,"['LCXX54', 'ET0437', 'ET1013']",Technician (Avionics)
organized,26,0,0,"['LC8062', 'LCXX57']",Technician (Avionics)
team development,26,0,0,"['LCXX54', 'ET0437']",Technician (Avionics)
digital marketing,25,0,0,['LCXX61'],Technician (Avionics)
system operations,24,1,8,"['ET0435', 'ET0434']",Technician (Avionics)
ethical,24,0,4,"['ET0053', 'LCXX57', 'ET0730', 'ET1013']",Technician (Avionics)
dc circuits,24,0,0,"['ET1006', 'ET1005']",Technician (Avionics)
logical,24,0,0,"['ET0083', 'LC8062', 'ET1004']",Technician (Avionics)
signal processing system,24,0,0,"['ET0436', 'ET0429']",Technician (Avionics)
construction,24,0,0,"['ET0429', 'ET0436', 'ET0438', 'ET1006', 'ME0501', 'ET0434']",Technician (Avionics)
aviation,23,-1,23,[],Technician (Avionics)
time management,23,1,7,['LCXX54'],Technician (Avionics)
administrative reporting,22,0,0,['LCXX56'],Technician (Avionics)
mitigation strategy,21,-1,21,[],Technician (Avionics)
dynamic,21,1,3,"['LC8062', 'ET0429', 'ET0436', 'ET1006', 'ET1003', 'ME0501', 'ET0434']",Technician (Avionics)
persuasion,21,0,0,"['LCXX60', 'LCXX61', 'LCXX56']",Technician (Avionics)
prototyping,20,0,0,"['ET1010', 'LC8062']",Technician (Avionics)
hvac,20,0,0,['ET0434'],Technician (Avionics)
electromagnetism,20,0,0,"['ET1005', 'ET0434']",Technician (Avionics)
pneumatics,20,0,0,"['ET0436', 'ET0434']",Technician (Avionics)
liaison,19,-1,19,[],Technician (Avionics)
organisational management,19,0,0,['ET0437'],Technician (Avionics)
complex analysis (mathematics),18,0,0,"['ET1006', 'MS4121']",Technician (Avionics)
data collection,18,0,0,['LCXX56'],Technician (Avionics)
probability theory,18,0,0,['MS4215_MS6215'],Technician (Avionics)
forecast and projection,18,0,0,"['ET0438', 'ET0085']",Technician (Avionics)
microcontroller,18,0,0,"['ET1010', 'ET1013', 'ET1014']",Technician (Avionics)
stress tolerant,17,0,0,['LCXX54'],Technician (Avionics)
site supervision,17,0,0,['LCXX57'],Technician (Avionics)
avionics,16,1,305,"['ET0436', 'ET0435']",Technician (Avionics)
documentation,16,1,27,"['ET0436', 'ET0435']",Technician (Avionics)
fleet management,16,-1,16,[],Technician (Avionics)
microsoft office (word),16,-1,16,[],Technician (Avionics)
financial reporting,16,0,0,['LCXX54'],Technician (Avionics)
sustainability design,16,0,0,['ET1013'],Technician (Avionics)
holistic development,16,0,0,"['ET1013', 'ET0429']",Technician (Avionics)
flexible,15,1,9,"['ET0053', 'ET0436', 'ET0438']",Technician (Avionics)
motivated,15,1,3,['ET0434'],Technician (Avionics)
storytelling,15,0,0,['LCXX61'],Technician (Avionics)
programme development,15,0,0,['ET0083'],Technician (Avionics)
angularjs,15,0,0,"['ET1006', 'ET0429', 'ET0085']",Technician (Avionics)
passionate,14,-1,14,[],Technician (Avionics)
electric circuit theory,14,0,0,"['ET1006', 'ET0053']",Technician (Avionics)
federal aviation administration license,13,-1,13,[],Technician (Avionics)
fluid dynamics,13,0,0,['ME0501'],Technician (Avionics)
airframe,12,-1,12,[],Technician (Avionics)
fault rectification,12,-1,12,[],Technician (Avionics)
flight control systems,12,0,0,"['ET0436', 'ET0434', 'ET0429']",Technician (Avionics)
c,12,0,0,"['ET0083', 'ET1010']",Technician (Avionics)
